Query,Response
"הצעת חוק הביטוח הלאומי (תיקון מס` 116) (שלילת דמי קבורה עקב פשע לאומני), התשס""ח-2008",נגד
"הצעת חוק הפסקת הליכים ומחיקת רישומים בעניין תוכנית ההתנתקות, התשס""ח-2008",נגד
"הצעת חוק מחיקת רישומים בעניין תכנית ההתנתקות, התשס""ח-2008",נגד
"הצעת חוק הדיינים (תיקון מס` 29), התשפ""א-2021",בעד
"הצעת חוק הכנסת (תיקון מס` 49), התשפ""א-2021",בעד
"הצעת חוק הפיקוח על יצוא ביטחוני (תיקון מס` 2), התשע""ה-2015",בעד
"הצעת חוק ההוצאה לפועל (תיקון מס` 46), התשע""ה-2015",בעד
"הצעת חוק השיפוט הצבאי (תיקון מס` 73) (כהונה נציב קבילות חיילים), התשע""ה-2015",נגד
"הצעת חוק הגנת הדייר (תיקון - תובענה לפינוי), התשס""ט-2009",נגד
"הצעת חוק לתיקון פקודת המסים (גביה) (איסור הטלת עיקול על רכוש החייב בשל חובות חנייה), התשע""א-2011",בעד
"הצעת חוק בית העצמאות (תיקון - מושב בית התנ""ך), התשע""א-2010",בעד
"הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה ליישום התכנית הכלכלית לשנים 2009 ו-2010) (תיקון מס` 12), התשע""ג-2013",בעד
הצעת חוק-יסוד: תקציב המדינה לשנים 2009 עד 2012 ולשנת 2013 (הוראות מיוחדות) (הוראת שעה) (תיקון מס` 3),בעד
"הצעת חוק התקציב לשנת הכספים 2005, התשס""ה-2005",בעד
"הצעת חוק המדיניות הכלכלית לשנת הכספים 2005 (תיקוני חקיקה), התשס""ה-2004",בעד
"הצעת חוק המפלגות (תיקון מס` 17) (שקיפות, ניהול חשבונות והגבלות בדבר הכנסות והוצאות לפני רישום מפלגה), התשע""ב-2012",נגד
"הצעת חוק הפעלת תחבורה ציבורית ביום המנוחה השבועי, התשע""א-2011",נגד
"הצעת חוק לתיקון פקודת הנישואין והגירושין (רישום) (אזורי רישום לנישואין של בני זוג),
 התשע""ב-2011
",נגד
הצעת חוק-יסוד: השבות,בעד
"החלטת ועדת החוקה, חוק ומשפט בדבר חלוקת הצעת חוק סדר הדין הפלילי (תיקון מס` 62), התש""ע-2009, לפי סעיף 121 לתקנון הכנסת - הצבעה",בעד
"הצעת ועדת העבודה, הרווחה והבריאות בדבר חלוקת הצעת חוק הסדרת העיסוק במקצועות הבריאות (תיקון)(הרחבת תחולת החוק למקצועות בריאות נוספים), התשס""ט-2008",בעד
"הצעת חוק הביטוח הלאומי (תיקון - הצמדת קצבת זקנה לשכר מינימום), התשע""ז-2017",נגד
"הצעת חוק לתיקון דיני הרשויות המקומיות (ביטול סמכות שר הפנים לעניין חוקי עזר בדבר פתיחתם וסגירתם של עסקים בימי מנוחה), התשע""ח-2018",נגד
"הצעת חוק שעות עבודה ומנוחה (תיקון - קיצור שבוע העבודה), התשע""ה-2015",נגד
"הצעת חוק הביטוח הלאומי (תיקון - השוואת קצבת זקנה לשכר המינימום), התשע""ז-2017",נגד
"הצעת חוק שיפוט בענייני התרת נישואין (מקרים מיוחדים וסמכות בין-לאומית) (תיקון - התרת נישואין אזרחיים), התשע""ח-2017",נגד
"הצעת חוק הפיקוח על שירותים פיננסיים (קופות גמל) (תיקון – הגבלת דמי ניהול לעמיתים בגיל פרישה), התשע""ו–2015",נגד
"הצעת חוק העונשין (תיקון - השחתת מודעות על רקע מגדר), התשע""ח-2017",בעד
"הצעת חוק התרת נישואין אזרחיים (תיקוני חקיקה), התשע""ה-2015",נגד
"הצעת חוק תשלום קצבאות לחיילי מילואים ולבני משפחותיהם (תיקון מס` 4) (מענק הוני למקרה מוות בשל נכות או פטירה שאירעה לפני מועד התחולה), התשע""ב-2011",בעד
"הצעת חוק שכר מינימום (העלאת סכומי שכר מינימום - הוראת שעה) (תיקון מס` 2), התשס""ח-2007",נגד
"הצעת חוק איסור אלימות בכדורגל, התשס""ח-2007",בעד
"הצעת חוק צער בעלי חיים (הגנה על בעלי חיים) (תיקון - שינוי שם החוק), התשס""ט-2009",בעד
"הצעת חוק דיווח ממשלה לאחר פיגוע טרור, התשס""ט-2009",נגד
"הצעת חוק לתיקון פקודת התעבורה (הפחתת גובה קנס בשל תשלום מיידי), תשס""ט - 2009",נגד
"הצעת חוק הנצחת זכרם של קורבנות הטבח בכפר קאסם, התשס""ט - 2009",נגד
"הצעת חוק הביטוח הלאומי (תיקון מס` 92) (ביטוח שאירים לאלמן), התשס""ז-2007 - הצבעה",נגד
"הצעת חוק אזור סחר חופשי אילת (פטורים והנחות ממסים)(תיקון מס` 6), התשס""ח - 2008",בעד
"הצעת חוק הגבלת שירותי שמירה בבתים משותפים, התשס""ח-2008",נגד
"הצעת חוק העסקת עובדים על ידי קבלני כוח אדם (תיקון מס` 5) (רישוי קבלני שירותים), התשס""ח-2008",בעד
"הצעת חוק גמול לחיילים בשירות סדיר, התשס""ח-2008",בעד
"הצעת חוק השקעות משותפות בנאמנות (תיקון מס` 30), התשס""ה-2005",בעד
"הצעת חוק שירות ביטחון (הוראת שעה)(תיקון מס` 9), התשס""ה-2005 ",נגד
"הצעת חוק עדיפות לאומית בחינוך, התשס""ג-2003",בעד
"הצעת חוק זכויות התלמיד (תיקון - הזכות להיבחן בבחינת בגרות), התשס""ג-2003",נגד
"הצעת חוק הממשלה (תיקון - מפתח חלוקת השרים), התשס""ו-2006",נגד
"הצעת חוק הממשלה (תיקון - מספר חברי הממשלה), התשס""ו-2006",בעד
"הצעת חוק שירותי הדת היהודיים (תיקון - הגבלת סכומי האגרות), התשע""ד-2014",נגד
"הצעת חוק יישום תכנית ההתנתקות (תיקון - פיצוי בשל עסק של חקלאות), התשס""ח-2008",נגד
"הצעת חוק להגנת חיית הבר (תיקון - בעל חיים ימי), התשס""ז-2007",בעד
"הצעת חוק תמריצים לסטודנטים בשירות מילואים ממושך, התשס""ח-2008",בעד
"הצעת חוק הכנסת (תיקון מס` 44) (השעיית חבר הכנסת שהתקיים בו האמור בסעיף 7א לחוק-יסוד: הכנסת), התשע""ו-2016",נגד
הצעת חוק-יסוד: הכנסת (תיקון מס` 45) (השעיית חבר הכנסת שהתקיים בו האמור בסעיף 7א),נגד
"הצעת חוק לתיקון פקודת העיריות (מס` 101)(חבר מועצה לשעבר - איסור התקשרות בחוזים), התשס""ה-2005 ",נגד
"הצעת חוק לתיקון פקודת הבטיחות בעבודה (מס` 6), התשס""ה-2005 ",נגד
"הצעת חוק מיסוי רווחי נפט, התשע""א-2011",בעד
