sess_item_dscr,vote_item_id,vote_item_dscr,vote_date,vote_time,voted_for,voted_against
"הצעת חוק הפיקוח על מעונות יום לפעוטות, התשע""ה–2015",100,להעביר את הצעת החוק לוועדה,30/12/2015,14:35,0,1
"הצעת חוק לתיקון פקודת בתי הסוהר (מרחב מחיה לאסיר), התש""ע-2009",100,להעביר את הצעת החוק לוועדה,30/12/2009,12:45,0,1
"הצעת חוק זכויות החולה (תיקון - נגישות מוסד רפואי לדוברי שפות זרות), התשע""ו-2016",100,להעביר את הצעת החוק לוועדה,30/11/2016,13:06,0,1
"הצעת חוק קידום תעשיות עתירות ידע בצפון ובדרום (סיוע בשכר עובדים), התשע""ו–2015",100,להעביר את הצעת החוק לוועדה,30/11/2016,12:48,0,1
"הצעת חוק חינוך ממלכתי (תיקון - מטרות חינוך), התשע""א-2011",100,להעביר את הצעת החוק לוועדה,30/11/2011,13:31,0,1
"הצעת חוק המועצה להשכלה גבוהה (תיקון - פטור משכר לימוד לסטודנטים מתחת לקו העוני), התשס""ט-2009",100,להעביר את הצעת החוק לוועדה,30/11/2011,13:44,0,1
"הצעת חוק לתיקון פקודת מס הכנסה (תיקון - הכרה בהוצאות לימודים ליחיד בעל עסק), התשע""א-2011",100,להעביר את הצעת החוק לוועדה,30/11/2011,13:58,0,1
"הצעת חוק זכויות התורמים למדינה, התשע""ג-2013 ",101,להעביר את הצעת החוק לוועדה שתקבע ועדת הכנסת,30/10/2013,12:54,1,0
"הצעת חוק הטבות לנפגעי פוליו, התשס""ו-2005",111,להחיל דין רציפות,30/10/2006,18:41,1,0
"הצעת חוק המרכז להנצחת מורשת גוש קטיף וצפון השומרון, התשס""ח-2008",104,קריאה שנייה,30/07/2008,13:42,1,0
"הצעת חוק הפחתת השימוש בשקיות פלסטיק, התשס""ח-2008",100,להעביר את הצעת החוק לוועדה,30/07/2008,13:38,1,0
"הצעת חוק ביטוח בריאות ממלכתי (תיקון מס` 36)(תוספת שנתית לסל שירותי הבריאות), התשס""ז 2006 ",100,להעביר את הצעת החוק לוועדה,30/06/2008,18:12,1,0
"הצעת חוק לתיקון פקודת מסי העירייה ומסי הממשלה (פטורין) (מס` 29) (פטור מארנונה לבית כנסת בתוך בית מדרש), התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,30/01/2017,17:57,1,0
"הצעת חוק יסודות התקציב (תיקון - שקיפות והרחבת הדיווח על מבנה השכר בשרות המדינה), התשס""ח-2007",100,להעביר את הצעת החוק לוועדה,30/01/2008,13:39,1,0
"הצעת חוק לתיקון פקודת מס הכנסה (ניכוי ריבית על משכנתא), התשס""ז-2006",100,להעביר את הצעת החוק לוועדה,30/01/2008,13:36,1,0
"הצעת חוק לתיקון פקודת מס הכנסה (ניכוי ריבית על משכנתא וסיוע ברכישת דירה), התשס""ו-2006",100,להעביר את הצעת החוק לוועדה,30/01/2008,13:35,1,0
"הצעת חוק דמי מחלה (היעדרות בשל מחלת ילד) (תיקון - הגדלת מספר ימי מחלה בשל מחלת ילד), התשס""ז - 2007",100,להעביר את הצעת החוק לוועדה,30/01/2008,12:40,1,0
"הצעת חוק יסודות התקציב (תיקון - תמיכה במוסדות ציבור), התשס""ז-2006",101,להעביר את הצעת החוק לוועדה שתקבע ועדת הכנסת,30/01/2008,13:04,1,0
"הצעת חוק התקציב לשנות הכספים 2011-2012, התשע""א-2010",104,קריאה שנייה,29/12/2010,18:06,1,0
"הצעת חוק איסור מימון טרור, התשס""ה-2004",104,קריאה שנייה,29/12/2004,13:13,1,0
"הצעת חוק לתיקון דיני הראיות (הגנת ילדים) (תיקון מס 11), התשס""ה-2004",104,קריאה שנייה,29/12/2004,13:25,1,0
"הצעת חוק שירות בטחון (הגבלות קריאה על שירות מילואים של קצין - הוראת שעה)(תיקון מס` 3), התשס""ד-2003 ",100,להעביר את הצעת החוק לוועדה,29/12/2003,16:21,1,0
"הצעת חוק המפלגות (מימון בחירות מקדימות לכנסת השבע עשרה) (הוראות שעה), התשס""ו - 2005",120,שם החוק,29/11/2005,17:58,1,0
"הצעת חוק שירות הכבאות והחילוץ, התשס""ג-2003",202,להעביר את הנושא לוועדה,29/11/2004,19:12,1,0
"הצעת חוק איסור ניתוק שירותי חשמל ומים לזכאים (תיקוני חקיקה), התשע""ד-2014",100,להעביר את הצעת החוק לוועדה,29/10/2014,14:03,0,1
"הצעת חוק הנצחת זכרם של קורבנות הטבח בכפר קאסם, התשע""ד-2013",100,להעביר את הצעת החוק לוועדה,29/10/2014,13:40,0,1
"הצעת חוק לשינוי סדרי עדיפויות (תיקוני חקיקה להשגת יעדי התקציב לשנים 2013 ו-2014), התשע""ג-2013",121,הסתייגות,29/07/2013,13:51,0,1
"הצעת חוק הרשויות המקומיות (בחירת ראש הרשות וסגניו וכהונתם) (תיקון מס` 27), התשס""ח-2008",104,קריאה שנייה,29/07/2008,19:08,1,0
"הצעת חוק צער בעלי חיים (הגנה על בעלי חיים)(תיקון מס` 8)(סמכויות פיקוח), התשס""ח-2008",100,להעביר את הצעת החוק לוועדה,29/07/2008,20:30,1,0
"הצעת חוק הביטוח הלאומי (תיקון מס` 116) (שלילת דמי קבורה עקב פשע לאומני), התשס""ח-2008",100,להעביר את הצעת החוק לוועדה,29/07/2008,20:27,1,0
"הצעת חוק הפסקת הליכים ומחיקת רישומים בעניין תוכנית ההתנתקות, התשס""ח-2008",100,להעביר את הצעת החוק לוועדה,29/07/2008,22:14,1,0
"הצעת חוק מחיקת רישומים בעניין תכנית ההתנתקות, התשס""ח-2008",100,להעביר את הצעת החוק לוועדה,29/07/2008,22:15,1,0
"הצעת חוק הדיינים (תיקון מס` 29), התשפ""א-2021",101,להעביר את הצעת החוק לוועדה שתקבע ועדת הכנסת,29/06/2021,19:21,0,1
"הצעת חוק הכנסת (תיקון מס` 49), התשפ""א-2021",101,להעביר את הצעת החוק לוועדה שתקבע ועדת הכנסת,29/06/2021,05:05,0,1
"הצעת חוק הפיקוח על יצוא ביטחוני (תיקון מס` 2), התשע""ה-2015",100,להעביר את הצעת החוק לוועדה,29/06/2015,22:00,1,0
"הצעת חוק ההוצאה לפועל (תיקון מס` 46), התשע""ה-2015",100,להעביר את הצעת החוק לוועדה,29/06/2015,22:00,1,0
"הצעת חוק השיפוט הצבאי (תיקון מס` 73) (כהונה נציב קבילות חיילים), התשע""ה-2015",100,להעביר את הצעת החוק לוועדה,29/06/2015,21:58,1,0
"הצעת חוק הגנת הדייר (תיקון - תובענה לפינוי), התשס""ט-2009",202,להעביר את הנושא לוועדה,29/06/2011,13:16,1,0
"הצעת חוק לתיקון פקודת המסים (גביה) (איסור הטלת עיקול על רכוש החייב בשל חובות חנייה), התשע""א-2011",202,להעביר את הנושא לוועדה,29/06/2011,13:29,1,0
"הצעת חוק בית העצמאות (תיקון - מושב בית התנ""ך), התשע""א-2010",100,להעביר את הצעת החוק לוועדה,29/06/2011,13:56,0,1
"הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה ליישום התכנית הכלכלית לשנים 2009 ו-2010) (תיקון מס` 12), התשע""ג-2013",100,להעביר את הצעת החוק לוועדה,29/04/2013,20:44,1,0
הצעת חוק-יסוד: תקציב המדינה לשנים 2009 עד 2012 ולשנת 2013 (הוראות מיוחדות) (הוראת שעה) (תיקון מס` 3),100,להעביר את הצעת החוק לוועדה,29/04/2013,20:43,1,0
"הצעת חוק התקציב לשנת הכספים 2005, התשס""ה-2005",104,קריאה שנייה,29/03/2005,20:37,1,0
"הצעת חוק המדיניות הכלכלית לשנת הכספים 2005 (תיקוני חקיקה), התשס""ה-2004",907,הצעת ועדה,29/03/2005,17:49,0,1
"הצעת חוק המפלגות (תיקון מס` 17) (שקיפות, ניהול חשבונות והגבלות בדבר הכנסות והוצאות לפני רישום מפלגה), התשע""ב-2012",100,להעביר את הצעת החוק לוועדה,29/02/2012,13:27,1,0
"הצעת חוק הפעלת תחבורה ציבורית ביום המנוחה השבועי, התשע""א-2011",100,להעביר את הצעת החוק לוועדה,29/02/2012,13:10,0,1
"הצעת חוק לתיקון פקודת הנישואין והגירושין (רישום) (אזורי רישום לנישואין של בני זוג),
 התשע""ב-2011
",101,להעביר את הצעת החוק לוועדה שתקבע ועדת הכנסת,28/12/2011,16:31,0,1
הצעת חוק-יסוד: השבות,100,להעביר את הצעת החוק לוועדה,28/12/2011,16:10,0,1
"החלטת ועדת החוקה, חוק ומשפט בדבר חלוקת הצעת חוק סדר הדין הפלילי (תיקון מס` 62), התש""ע-2009, לפי סעיף 121 לתקנון הכנסת - הצבעה",912,החלטה בדבר,28/12/2009,18:14,1,0
"הצעת ועדת העבודה, הרווחה והבריאות בדבר חלוקת הצעת חוק הסדרת העיסוק במקצועות הבריאות (תיקון)(הרחבת תחולת החוק למקצועות בריאות נוספים), התשס""ט-2008",912,החלטה בדבר,28/12/2009,18:08,1,0
"הצעת חוק הביטוח הלאומי (תיקון - הצמדת קצבת זקנה לשכר מינימום), התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,28/11/2018,14:27,0,1
"הצעת חוק לתיקון דיני הרשויות המקומיות (ביטול סמכות שר הפנים לעניין חוקי עזר בדבר פתיחתם וסגירתם של עסקים בימי מנוחה), התשע""ח-2018",100,להעביר את הצעת החוק לוועדה,28/11/2018,14:10,0,1
"הצעת חוק שעות עבודה ומנוחה (תיקון - קיצור שבוע העבודה), התשע""ה-2015",100,להעביר את הצעת החוק לוועדה,28/11/2018,14:17,0,1
"הצעת חוק הביטוח הלאומי (תיקון - השוואת קצבת זקנה לשכר המינימום), התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,28/11/2018,14:27,0,1
"הצעת חוק שיפוט בענייני התרת נישואין (מקרים מיוחדים וסמכות בין-לאומית) (תיקון - התרת נישואין אזרחיים), התשע""ח-2017",100,להעביר את הצעת החוק לוועדה,28/11/2018,13:27,0,1
"הצעת חוק הפיקוח על שירותים פיננסיים (קופות גמל) (תיקון – הגבלת דמי ניהול לעמיתים בגיל פרישה), התשע""ו–2015",100,להעביר את הצעת החוק לוועדה,28/11/2018,12:59,0,1
"הצעת חוק העונשין (תיקון - השחתת מודעות על רקע מגדר), התשע""ח-2017",100,להעביר את הצעת החוק לוועדה,28/11/2018,14:47,0,1
"הצעת חוק התרת נישואין אזרחיים (תיקוני חקיקה), התשע""ה-2015",100,להעביר את הצעת החוק לוועדה,28/11/2018,13:27,0,1
"הצעת חוק תשלום קצבאות לחיילי מילואים ולבני משפחותיהם (תיקון מס` 4) (מענק הוני למקרה מוות בשל נכות או פטירה שאירעה לפני מועד התחולה), התשע""ב-2011",100,להעביר את הצעת החוק לוועדה,28/11/2011,20:37,1,0
"הצעת חוק שכר מינימום (העלאת סכומי שכר מינימום - הוראת שעה) (תיקון מס` 2), התשס""ח-2007",104,קריאה שנייה,28/11/2007,15:00,0,1
"הצעת חוק איסור אלימות בכדורגל, התשס""ח-2007",101,להעביר את הצעת החוק לוועדה שתקבע ועדת הכנסת,28/11/2007,12:17,1,0
"הצעת חוק צער בעלי חיים (הגנה על בעלי חיים) (תיקון - שינוי שם החוק), התשס""ט-2009",202,להעביר את הנושא לוועדה,28/10/2009,13:29,0,1
"הצעת חוק דיווח ממשלה לאחר פיגוע טרור, התשס""ט-2009",100,להעביר את הצעת החוק לוועדה,28/10/2009,13:02,1,0
"הצעת חוק לתיקון פקודת התעבורה (הפחתת גובה קנס בשל תשלום מיידי), תשס""ט - 2009",100,להעביר את הצעת החוק לוועדה,28/10/2009,12:09,1,0
"הצעת חוק הנצחת זכרם של קורבנות הטבח בכפר קאסם, התשס""ט - 2009",202,להעביר את הנושא לוועדה,28/10/2009,12:43,1,0
"הצעת חוק הביטוח הלאומי (תיקון מס` 92) (ביטוח שאירים לאלמן), התשס""ז-2007 - הצבעה",100,להעביר את הצעת החוק לוועדה,28/07/2008,19:21,1,0
"הצעת חוק אזור סחר חופשי אילת (פטורים והנחות ממסים)(תיקון מס` 6), התשס""ח - 2008",100,להעביר את הצעת החוק לוועדה,28/07/2008,19:20,1,0
"הצעת חוק הגבלת שירותי שמירה בבתים משותפים, התשס""ח-2008",100,להעביר את הצעת החוק לוועדה,28/07/2008,19:56,0,1
"הצעת חוק העסקת עובדים על ידי קבלני כוח אדם (תיקון מס` 5) (רישוי קבלני שירותים), התשס""ח-2008",100,להעביר את הצעת החוק לוועדה,28/07/2008,19:50,1,0
"הצעת חוק גמול לחיילים בשירות סדיר, התשס""ח-2008",100,להעביר את הצעת החוק לוועדה,28/07/2008,19:22,1,0
"הצעת חוק השקעות משותפות בנאמנות (תיקון מס` 30), התשס""ה-2005",100,להעביר את הצעת החוק לוועדה,28/07/2005,00:40,1,0
"הצעת חוק שירות ביטחון (הוראת שעה)(תיקון מס` 9), התשס""ה-2005 ",100,להעביר את הצעת החוק לוועדה,28/07/2005,00:12,1,0
"הצעת חוק עדיפות לאומית בחינוך, התשס""ג-2003",103,להסיר מסדר-היום,28/07/2004,12:47,0,1
"הצעת חוק זכויות התלמיד (תיקון - הזכות להיבחן בבחינת בגרות), התשס""ג-2003",103,להסיר מסדר-היום,28/07/2004,12:27,0,1
"הצעת חוק הממשלה (תיקון - מפתח חלוקת השרים), התשס""ו-2006",100,להעביר את הצעת החוק לוועדה,28/06/2006,13:20,1,0
"הצעת חוק הממשלה (תיקון - מספר חברי הממשלה), התשס""ו-2006",100,להעביר את הצעת החוק לוועדה,28/06/2006,13:20,1,0
"הצעת חוק שירותי הדת היהודיים (תיקון - הגבלת סכומי האגרות), התשע""ד-2014",100,להעביר את הצעת החוק לוועדה,28/05/2014,12:53,0,1
"הצעת חוק יישום תכנית ההתנתקות (תיקון - פיצוי בשל עסק של חקלאות), התשס""ח-2008",101,להעביר את הצעת החוק לוועדה שתקבע ועדת הכנסת,28/05/2008,12:59,1,0
"הצעת חוק להגנת חיית הבר (תיקון - בעל חיים ימי), התשס""ז-2007",100,להעביר את הצעת החוק לוועדה,28/05/2008,12:14,1,0
"הצעת חוק תמריצים לסטודנטים בשירות מילואים ממושך, התשס""ח-2008",100,להעביר את הצעת החוק לוועדה,28/05/2008,12:57,1,0
"הצעת חוק הכנסת (תיקון מס` 44) (השעיית חבר הכנסת שהתקיים בו האמור בסעיף 7א לחוק-יסוד: הכנסת), התשע""ו-2016",100,להעביר את הצעת החוק לוועדה,28/03/2016,22:50,1,0
הצעת חוק-יסוד: הכנסת (תיקון מס` 45) (השעיית חבר הכנסת שהתקיים בו האמור בסעיף 7א),100,להעביר את הצעת החוק לוועדה,28/03/2016,22:49,1,0
"הצעת חוק לתיקון פקודת העיריות (מס` 101)(חבר מועצה לשעבר - איסור התקשרות בחוזים), התשס""ה-2005 ",100,להעביר את הצעת החוק לוועדה,28/03/2005,10:49,1,0
"הצעת חוק לתיקון פקודת הבטיחות בעבודה (מס` 6), התשס""ה-2005 ",100,להעביר את הצעת החוק לוועדה,28/03/2005,10:48,1,0
"הצעת חוק מיסוי רווחי נפט, התשע""א-2011",101,להעביר את הצעת החוק לוועדה שתקבע ועדת הכנסת,28/02/2011,21:29,1,0
