sess_item_dscr,vote_item_id,vote_item_dscr,vote_date,vote_time,voted_for,voted_against
"הודעה משותפת בדבר כינון קשרי דיפלומטיה, שלום וידידות בין מדינת ישראל וממלכת בחריין ? דיון והצבעה",910,הודעת הממשלה,10/11/2020,19:10,1,0
"""הכישלון המחפיר של ראש הממשלה בניהול המשבר הכלכלי והבריאותי"" - דיון בהשתתפות ראש הממשלה על פי בקשתם של 40 חברי כנסת",911,הודעת ראש הממשלה,19/10/2020,18:34,1,0
"הסכמי אברהם לשלום: חוזה שלום, יחסים דיפלומטיים ונורמליזציה מלאה בין מדינת ישראל לבין איחוד האמירויות הערביות ? דיון והצבעה",999,הצבעה,15/10/2020,20:00,1,0
הצעת חוק-יסוד: הכנסת (תיקון מס` 50 ? הוראת שעה) ,121,הסתייגות,24/08/2020,21:41,0,1
" ""קריסת השירותים החברתיים"" ? דיון בהשתתפות ראש הממשלה על פי בקשתם של 40 חברי כנסת",911,הודעת ראש הממשלה,05/08/2020,17:11,1,0
"חוק סמכויות מיוחדות להתמודדות עם נגיף הקורונה החדש (הוראת שעה), התש""ף-2020",121,הסתייגות,22/07/2020,23:54,0,1
"הצעת חוק הביטוח הלאומי (תיקון - דמי אבטלה לעצמאיים), התש""ף-2020",100,להעביר את הצעת החוק לוועדה,24/06/2020,14:33,0,1
"הצעת אי אמון מטעם סיעת יש עתיד-תל""ם בנושא: ""כישלון הממשלה בהתמודדות עם המשבר הכלכלי""",300,הצעת אי-אמון בממשלה,15/06/2020,18:13,0,1
"הצעת אי אמון מטעם סיעת הרשימה המשותפת (חד""ש, רע""מ, תע""ל, בל""ד) בנושא: ""מחדל הממשלה בטיפול בפשיעה בחברה הערבית"" ",300,הצעת אי-אמון בממשלה,15/06/2020,18:14,0,1
"הצעת אי אמון מטעם סיעת ימינה בנושא: ""מחדל הטיפול בקורונה""",300,הצעת אי-אמון בממשלה,15/06/2020,18:15,0,1
"הצעת אי אמון מטעם סיעת יש עתיד-תל""ם בנושא: ""המספר המוגזם של השרים וסגני השרים בממשלה, בתקופה בה המשק נמצא במשבר כלכלי""",300,הצעת אי-אמון בממשלה,01/06/2020,18:35,0,1
"הצעת אי אמון מטעם סיעת הרשימה המשותפת (חד""ש, רע""מ, תע""ל, בל""ד) בנושא: ""ממשלת סיפוח ואבטלה אינה ראויה לאמון הציבור""",300,הצעת אי-אמון בממשלה,01/06/2020,18:35,0,1
"הצעת אי אמון מטעם ישראל ביתנו בראשות אביגדור ליברמן בנושא: ""מדיניות הביטחון של הממשלה החדשה והיעדר תוכנית רב שנתית לצה""ל""",300,הצעת אי-אמון בממשלה,01/06/2020,18:36,0,1
"הצעת אי אמון מטעם סיעת מרצ בנושא: ""ממשלה מושחתת, מנופחת ומספחת""",300,הצעת אי-אמון בממשלה,01/06/2020,18:36,0,1
כינון ממשלת חילופים - הממשלה ה-35,911,הודעת ראש הממשלה,17/05/2020,16:58,1,0
חוק-יסוד: הממשלה (תיקון מס` 8 והוראת שעה) ,121,הסתייגות,06/05/2020,16:32,0,1
"חוק התפזרות הכנסת העשרים ושתיים והקדמת הבחירות, התש""ף?2019",104,קריאה שנייה,12/12/2019,03:17,1,0
"חוק הבחירות לכנסת העשרים ושלוש (הוראות מיוחדות), התש""ף?2019",104,קריאה שנייה,12/12/2019,03:23,1,0
הרכב הוועדה המסדרת,999,הצבעה,30/04/2019,16:40,1,0
"חוק התפזרות הכנסת העשרים, התשע""ט-2018",100,להעביר את הצעת החוק לוועדה,26/12/2018,18:21,1,0
"הצעת חוק התפזרות הכנסת העשרים, התשע""ח-2018",100,להעביר את הצעת החוק לוועדה,26/12/2018,18:23,1,0
"הצעת חוק התפזרות הכנסת העשרים, התשע""ט-2018",104,קריאה שנייה,26/12/2018,20:35,1,0
"הצעת חוק מס ערך מוסף (תיקון - פטור ממס על מתן שירותי בנייה לצורך הוספת מרחב מוגן ומרחב מוגן דירתי ביישובים סמוכי גבול), התשע""ו-2016",100,להעביר את הצעת החוק לוועדה,19/12/2018,13:23,0,1
"הצעת חוק לתיקון פקודת העיריות (שידור ישיבות מועצה), התשע""ח-2018",100,להעביר את הצעת החוק לוועדה,19/12/2018,13:47,0,1
"הצעת חוק קרן פיצויים לנזקי הפשיעה החקלאית, התשע""ח-2018 ",100,להעביר את הצעת החוק לוועדה,19/12/2018,14:37,0,1
"הצעת חוק ארגון הפיקוח על העבודה (תיקון - פרסום מידע בדבר תאונות עבודה ומחלות מקצוע), התשע""ה-2015",100,להעביר את הצעת החוק לוועדה,19/12/2018,14:42,0,1
"הצעת חוק כהונתם של ראשי גופים ביטחוניים, התשע""ו-2015",100,להעביר את הצעת החוק לוועדה,19/12/2018,14:47,0,1
"הצעת חוק קידום התחרות בענף המזון (תיקון - איסור על מכירת מוצרים במחירי הפסד), התשע""ח-2018",100,להעביר את הצעת החוק לוועדה,19/12/2018,15:10,0,1
"הצעת ועדת הכנסת בדבר העברת הצעת חוק להסדר ההימורים בספורט (תיקון מס` 14 והוראת שעה), התשע""ט– 2018, לוועדה המשותפת לוועדת החינוך, התרבות והספורט וועדת הכספים",900,הצעת ועדת הכנסת,19/12/2018,15:17,1,0
"הצעת חוק ברית הזוגיות האזרחית, התשע""ח-2018",100,להעביר את הצעת החוק לוועדה,19/12/2018,16:13,0,1
"הצעת חוק ברית הזוגיות, התשע""ח-2018",100,להעביר את הצעת החוק לוועדה,19/12/2018,16:14,0,1
"הצעת חוק שירות ביטחון (תיקון מס` 7 והוראת שעה) (שירות במשטרה ושירות מוכר) (תיקון מס` 16), התשע""ט-2018",100,להעביר את הצעת החוק לוועדה,17/12/2018,22:16,1,0
"הצעת חוק חינוך ממלכתי (תיקון - איסור פעילות שיש בה הדתה, שנאה בשל נטייה מינית, גזענות והדרת נשים במוסדות חינוך ממלכתיים), התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,12/12/2018,12:45,0,1
הצעת חוק-יסוד: הכנסת (תיקון - הצהרת אמונים),100,להעביר את הצעת החוק לוועדה,12/12/2018,13:59,0,1
"הצעת חוק שירותי הסעד (תיקון - איסור התניית מימון שירותי רווחה ברשויות מוחלשות), התשע""ח-2018",100,להעביר את הצעת החוק לוועדה,12/12/2018,14:31,0,1
"הצעת חוק הביטוח הלאומי (תיקון - נכה שהגיע לגיל פרישה), התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,12/12/2018,15:04,0,1
"הצעת חוק הביטוח הלאומי (תיקון - נכה שהגיע לגיל פרישה), התשע""ה-2015",100,להעביר את הצעת החוק לוועדה,12/12/2018,15:05,0,1
הצעת חוק-יסוד: השוויון,100,להעביר את הצעת החוק לוועדה,12/12/2018,15:28,0,1
הצעת חוק-יסוד: שוויון זכויות חברתי ומדיני לכל אזרחי מדינת ישראל (תיקוני חקיקה),100,להעביר את הצעת החוק לוועדה,12/12/2018,15:28,0,1
"הצעת חוק הממשלה (תיקון - ועדת שרים לענייני ביטחון לאומי), התשע""ט-2018",100,להעביר את הצעת החוק לוועדה,12/12/2018,15:56,0,1
"חוק למניעת הסתננות (עבירות ושיפוט) (הוראת שעה) (תיקון מס` 4), התשע""ט-2018",104,קריאה שנייה,10/12/2018,18:11,1,0
"חוק העונשין (תיקון מס` 135), התשע""ט-2018",104,קריאה שנייה,10/12/2018,18:14,1,0
"הצעת חוק הרשות למאבק באלימות, בסמים ובאלכוהול (תיקון), התשע""ט-2018",100,להעביר את הצעת החוק לוועדה,10/12/2018,20:32,1,0
"חוק המקרקעין (תיקון מס` 33), התשע""ט-2018",100,להעביר את הצעת החוק לוועדה,10/12/2018,21:58,1,0
"הצעת חוק שדה התעופה דב הוז (הוראות מיוחדות) (תיקון), התשע""ט-2018",100,להעביר את הצעת החוק לוועדה,10/12/2018,23:08,1,0
"חוק בתי המשפט (תיקון מס` 96), התשע""ט-2018",999,הצבעה,10/12/2018,23:10,1,0
"הצעת חוק אדמות נסיגת ים המלח, התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,05/12/2018,12:55,0,1
המלצת ועדת הכנסת בדבר מינוי סגנית ליושב-ראש הכנסת – הצבעה,900,הצעת ועדת הכנסת,05/12/2018,12:57,1,0
"הצעת חוק לימוד חובה (תיקון - חובת לימודי ליבה), התשע""ח-2018",100,להעביר את הצעת החוק לוועדה,05/12/2018,13:19,0,1
"הצעת חוק מס ערך מוסף (תיקון - פטור ממס בגין תרומות לבתי חולים בפריפריה), התשע""ט-2018",100,להעביר את הצעת החוק לוועדה,05/12/2018,14:11,0,1
"הצעת חוק הפיקוח על שירותים פיננסיים (קופות גמל) (תיקון – הגבלת דמי ניהול לעמיתים בגיל פרישה), התשע""ו–2015",100,להעביר את הצעת החוק לוועדה,28/11/2018,12:59,0,1
"הצעת חוק התרת נישואין אזרחיים (תיקוני חקיקה), התשע""ה-2015",100,להעביר את הצעת החוק לוועדה,28/11/2018,13:27,0,1
"הצעת חוק שיפוט בענייני התרת נישואין (מקרים מיוחדים וסמכות בין-לאומית) (תיקון - התרת נישואין אזרחיים), התשע""ח-2017",100,להעביר את הצעת החוק לוועדה,28/11/2018,13:27,0,1
"הצעת חוק לתיקון דיני הרשויות המקומיות (ביטול סמכות שר הפנים לעניין חוקי עזר בדבר פתיחתם וסגירתם של עסקים בימי מנוחה), התשע""ח-2018",100,להעביר את הצעת החוק לוועדה,28/11/2018,14:10,0,1
"הצעת חוק שעות עבודה ומנוחה (תיקון - קיצור שבוע העבודה), התשע""ה-2015",100,להעביר את הצעת החוק לוועדה,28/11/2018,14:17,0,1
"הצעת חוק הביטוח הלאומי (תיקון - השוואת קצבת זקנה לשכר המינימום), התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,28/11/2018,14:27,0,1
"הצעת חוק הביטוח הלאומי (תיקון - הצמדת קצבת זקנה לשכר מינימום), התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,28/11/2018,14:27,0,1
"הצעת חוק העונשין (תיקון - השחתת מודעות על רקע מגדר), התשע""ח-2017",100,להעביר את הצעת החוק לוועדה,28/11/2018,14:47,0,1
"חוק בנק ישראל (תיקון מס` 7), התשע""ט-2018",104,קריאה שנייה,26/11/2018,19:11,1,0
הצעת ועדת הכנסת להעביר את הנושא: פיקוח על רווחי שיווק בתוצרת חקלאית מוועדת העבודה הרווחה והבריאות לוועדת הכלכלה,900,הצעת ועדת הכנסת,26/11/2018,19:15,1,0
"חוק הסדרת הטיפול בחופי הכנרת (תיקון מס` 3), התשע""ט-2018 ",104,קריאה שנייה,26/11/2018,19:17,1,0
"חוק הבוררות (תיקון מס` 4), התשע""ט-2018",104,קריאה שנייה,26/11/2018,19:20,1,0
"חוק שירות המדינה (גמלאות) (תיקון מס` 62), התשע""ט-2018",104,קריאה שנייה,26/11/2018,19:28,1,0
"הצעת חוק הביטוח הלאומי (תיקון מס` 209) (תשלום גמלת סיעוד לידי הזכאי - ביטול התנאי לעניין מגורים עם בן משפחה מטפל), התשע""ט-2018",100,להעביר את הצעת החוק לוועדה,26/11/2018,20:41,1,0
"הצעת חוק להסדרת הביטחון בגופים ציבוריים (הוראת שעה) (תיקון), התשע""ט-2018",100,להעביר את הצעת החוק לוועדה,26/11/2018,21:26,1,0
"הצעת חוק התקנת מצלמות לשם הגנה על פעוטות במעונות יום לפעוטות, התשע""ט-2018 ",100,להעביר את הצעת החוק לוועדה,26/11/2018,22:48,1,0
"הצעת חוק למניעת מפגעים סביבתיים (תביעות אזרחיות) (תיקון מס` 10) (מניעת פגיעה בערכי טבע מוגנים ובאזורים מוגנים), התשע""ט-2018",100,להעביר את הצעת החוק לוועדה,26/11/2018,23:04,1,0
"הצעת חוק הבנקאות (שירות ללקוח) (תיקון מס` 31) (דחיית מועדי פירעון של הלוואה לדיור בשל פטירה), התשע""ט–2018",100,להעביר את הצעת החוק לוועדה,26/11/2018,23:09,1,0
"הצעת חוק התכנון והבנייה (תיקון מס` 127) (שומה מתוקנת מוסכמת), התשע""ט-2018",100,להעביר את הצעת החוק לוועדה,26/11/2018,23:10,1,0
"הצעת חוק לתיקון פקודת בריאות העם (חובת חיסון תלמידים במוסד חינוכי), התשע""ט-2018",100,להעביר את הצעת החוק לוועדה,21/11/2018,12:05,1,0
"הצעת חוק לתיקון פקודת בריאות העם (מדיניות חיסונים לאומית ומתן תמריצים להתחסנות), התשע""ט-2018",101,להעביר את הצעת החוק לוועדה שתקבע ועדת הכנסת,21/11/2018,12:06,1,0
"הצעת חוק למניעת הסתננות (עבירות ושיפוט) (הוראת שעה) (תיקון - הארכת הוראת השעה), התשע""ט-2018",100,להעביר את הצעת החוק לוועדה,21/11/2018,12:15,1,0
"הצעת חוק הממשלה (תיקון - ביצוע בדיקת פוליגרף לחברי ועדת שרים לענייני ביטחון לאומי), התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,21/11/2018,12:38,0,1
"הצעת חוק לתיקון פקודת הראיות (דרישת הסיוע להרשעה על פי הודיה), התשע""ו-2016",100,להעביר את הצעת החוק לוועדה,21/11/2018,12:42,0,1
"הצעת חוק דיור חברתי, התשע""ח-2017",100,להעביר את הצעת החוק לוועדה,21/11/2018,12:47,0,1
"הצעת חוק דמי מחלה (היעדרות בשל מחלת הורה) (תיקון - הרחבת הזכאות), התשע""ז-2016",100,להעביר את הצעת החוק לוועדה,21/11/2018,12:48,0,1
"הצעת חוק הכרה ברצח העם היזידי, התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,21/11/2018,13:14,0,1
"הצעת חוק לתיקון פקודת הנישואין והגירושין (רישום) (ביטול סעיף 7), התשע""ח-2017",100,להעביר את הצעת החוק לוועדה,21/11/2018,14:32,0,1
"הצעת חוק הפעלת תחבורה ציבורית מצומצמת ביום המנוחה השבועי, התשע""ח-2018",202,להעביר את הנושא לוועדה,21/11/2018,14:55,0,1
הצעה לסדר-היום בנושא:  הצורך בהקמת ועדת חקירה פרלמנטרית לבדיקת נושא רצח נשים,100,להעביר את הצעת החוק לוועדה,21/11/2018,15:02,0,1
הצעה לסדר-היום בנושא:  הצורך בהקמת ועדת חקירה פרלמנטרית בעקבות היקף רצח הנשים,100,להעביר את הצעת החוק לוועדה,21/11/2018,15:03,0,1
הצעה לסדר-היום בנושא:  הצורך בהקמת ועדת חקירה פרלמנטרית בעקבות היקף רצח הנשים ,100,להעביר את הצעת החוק לוועדה,21/11/2018,15:04,0,1
"חוק גנים לאומיים, שמורות טבע, אתרים לאומיים ואתרי הנצחה (תיקון מס` 17), התשע""ט-2018",121,הסתייגות,19/11/2018,21:53,0,1
"""האפליה המבישה של הממשלה את הקהילה הלהט""בית בחוק הפונדקאות"" – דיון בהשתתפות ראש הממשלה על פי בקשתם של 40 חברי כנסת",911,הודעת ראש הממשלה,31/10/2018,17:31,1,0
חוק-יסוד: ישראל – מדינת הלאום של העם היהודי,121,הסתייגות,19/07/2018,00:19,0,1
"חוק הסכמים לנשיאת עוברים (אישור הסכם ומעמד היילוד) (תיקון מס` 2), התשע""ח-2018",121,הסתייגות,18/07/2018,11:55,0,1
"הצעת אי אמון מטעם סיעת המחנה הציוני בנושא: ""ראש ממשלת ישראל סוחר בזיכרון השואה ובאמת ההיסטורית למען אינטרסים פוליטיים""",300,הצעת אי-אמון בממשלה,16/07/2018,18:00,0,1
"הצעת אי אמון מטעם סיעת הרשימה המשותפת (חד""ש, רע""מ, בל""ד, תע""ל) בנושא: ""הריסות הבתים בקרב האוכלוסייה הערבית""",300,הצעת אי-אמון בממשלה,16/07/2018,18:01,0,1
"הצעת אי אמון מטעם סיעת יש עתיד בנושא: ""היעדר מדיניות ואסטרטגיה  של ממשלת ישראל באשר לרצועת עזה והמשך הטרור מתחומה""",300,הצעת אי-אמון בממשלה,16/07/2018,18:02,0,1
"הצעת אי אמון מטעם סיעת מרצ בנושא: ""פעולות הממשלה להעמקת השסעים והקרעים בחברה הישראלית, באמצעות חוק הלאום הגזעני, וכישלונה בהובלת מדיניות ביחס לרצועת עזה והעוטף""",300,הצעת אי-אמון בממשלה,16/07/2018,18:02,0,1
הצעת חוק-יסוד: הכנסת (תיקון - קבלת סעיף בחוק-יסוד שדרוש לביטולו או לשינויו רוב מיוחס),100,להעביר את הצעת החוק לוועדה,23/05/2018,13:22,0,1
"הצעת חוק התפזרות הכנסת העשרים, התשע""ו-2016",100,להעביר את הצעת החוק לוועדה,13/03/2018,20:37,0,1
"הצעת חוק התפזרות הכנסת העשרים, התשע""ה-2015",100,להעביר את הצעת החוק לוועדה,13/03/2018,20:38,0,1
"הצעת חוק התפזרות הכנסת העשרים, התשע""ז-2016",100,להעביר את הצעת החוק לוועדה,13/03/2018,20:39,0,1
"הצעת חוק התפזרות הכנסת העשרים, התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,13/03/2018,20:40,0,1
"הצעת חוק שירות ביטחון (תיקון - הסדר מעמדם של לומדי התורה), התשע""ח-2018 ",100,להעביר את הצעת החוק לוועדה,13/03/2018,20:59,1,0
דיון בהשתתפות ראש הממשלה על פי בקשתם של 40 חברי כנסת,911,הודעת ראש הממשלה,12/03/2018,18:27,1,0
"חוק לתיקון דיני הרשויות המקומיות (חוקי עזר בעניין פתיחתם וסגירתם של עסקים בימי מנוחה), התשע""ח-2018",121,הסתייגות,09/01/2018,02:12,0,1
חוק-יסוד: הממשלה (תיקון מס` 5),100,להעביר את הצעת החוק לוועדה,09/01/2018,08:21,1,0
הצעת חוק-יסוד: הכנסת (תיקון מס` 48) (הגבלת הזכות להיבחר בשל הרשעה בעבירת טרור או ביטחון חמורה),100,להעביר את הצעת החוק לוועדה,08/01/2018,18:22,1,0
"הצעת חוק הבחירות לכנסת (תיקון מס` 69) (הגבלת הזכות להיבחר בשל הרשעה בעבירת טרור או ביטחון חמורה), התשע""ח-2017",100,להעביר את הצעת החוק לוועדה,08/01/2018,18:23,1,0
"הצעת חוק הכניסה לישראל (תיקון - תחולה על תושבי מזרח ירושלים ושיקול דעת שר הפנים), התשע""ח-2017",100,להעביר את הצעת החוק לוועדה,03/01/2018,13:17,1,0
"הצעת חוק שירות המילואים (תיקון - הפחתת שיעור המס שחל על תגמולים למשרתי מילואים), התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,03/01/2018,13:20,1,0
"הצעת חוק התרבות והאמנות (תיקון – תקציב תיאטראות בשפה הערבית), התשע""ו–2015",100,להעביר את הצעת החוק לוועדה,03/01/2018,13:50,0,1
חוק-יסוד: ירושלים בירת ישראל (תיקון מס` 2) ,121,הסתייגות,02/01/2018,02:34,0,1
"חוק קרן קיימת לישראל (תחולת דיני המס והוראת שעה), התשע""ח-2018",104,קריאה שנייה,01/01/2018,19:09,1,0
"הצעת ועדת הכנסת להעביר את הצעת חוק התקשורת (בזק ושידורים) (תיקון - הארכת תוקף רישיון למשדר ערוץ ייעודי), התשע״ז–2017, לוועדה המשותפת לוועדת הכלכלה ולוועדתהכנסת",900,הצעת ועדת הכנסת,01/01/2018,19:15,1,0
"חוק המפלגות (תיקון מס` 24), התשע""ח-2018",104,קריאה שנייה,01/01/2018,22:39,1,0
"חוק גיל פרישה (הורה שילדו נפטר) (הוראת שעה), התשע""ח-2017",104,קריאה שנייה,12/12/2017,04:42,1,0
"הצעת חוק המפלגות (תיקון מס` 24) (הוראות מיוחדות לעניין בחירות מקדימות לתפקיד חבר הכנסת), התשע""ח-2017",100,להעביר את הצעת החוק לוועדה,12/12/2017,01:37,1,0
"הצעת חוק לתיקון דיני הרשויות המקומיות (חוקי עזר בעניין פתיחתם וסגירתם של עסקים בימי מנוחה), התשע""ח-2017 ",100,להעביר את הצעת החוק לוועדה,12/12/2017,04:26,1,0
"הצעת חוק נכסים של נספי השואה והטבות לניצולי שואה נזקקים (תיקוני חקיקה), התשע""ח-2017",101,להעביר את הצעת החוק לוועדה שתקבע ועדת הכנסת,12/12/2017,04:36,1,0
"הצעת חוק שעות עבודה ומנוחה (תיקון מס` 16), התשע""ח-2017",100,להעביר את הצעת החוק לוועדה,12/12/2017,04:52,1,0
"חוק למניעת הסתננות (עבירות ושיפוט) (הוראת שעה), התשע""ח-2017 ",120,שם החוק,11/12/2017,23:07,1,0
"הצעת חוק הסדרים במשק המדינה (תיקוני חקיקה להשגת יעדי התקציב) (תיקון - חישוב עליית מחירי הארנונה), התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,06/12/2017,12:57,0,1
"הצעת חוק התקשורת (בזק ושידורים) (תיקון - הארכת תוקף רישיון למשדר ערוץ ייעודי), התשע""ז-2017 ",100,להעביר את הצעת החוק לוועדה,22/11/2017,12:59,1,0
"הצעת חוק העונשין (תיקון - תקיפת חייל צה""ל), התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,22/11/2017,13:53,0,1
"הצעת חוק להצלת ירושלים כעיר בירה יהודית ודמוקרטית, התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,15/11/2017,12:40,0,1
"הצעת חוק חינוך ממלכתי (תיקון - שלילת השתתפות בתקציב עקב הפליה), התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,15/11/2017,13:26,0,1
המלצת ועדת הכנסת בדבר מינוי סגן ליושב-ראש הכנסת,900,הצעת ועדת הכנסת,07/11/2017,16:32,1,0
"הצעת חוק להנצחת זכרו של רחבעם זאבי (תיקון - ביטול החוק), התשע""ז-2016",100,להעביר את הצעת החוק לוועדה,25/10/2017,12:40,0,1
הודעת ראש ממשלה על פעילות הממשלה בתקופה שחלפה מאז המושב הקודם ועל תכניות הממשלה למושב הקרוב - דיון והצבעה,911,הודעת ראש הממשלה,23/10/2017,19:47,1,0
"צו האזרחות והכניסה לישראל (הוראת שעה) (הארכת תוקף החוק), התשע""ז-2017 - דיון והצבעה",912,החלטה בדבר,12/06/2017,17:57,1,0
"הצעת חוק שמירת הניקיון (הוראת שעה) (תיקון), התשע""ז-2017",121,הסתייגות,12/06/2017,18:40,0,1
"הודעת הממשלה בהתאם לסעיף 31(א) לחוק יסוד: הממשלה על החלטתה למנות את השר איוב קרא, לשר התקשורת, ולסיים את תפקידו כשר ללא תיק – הצבעה",910,הודעת הממשלה,29/05/2017,17:34,1,0
"הודעת הממשלה בהתאם לסעיף 31(ב) לחוק יסוד: הממשלה על החלטתה להשיב לשר התקשורת את הסמכויות שהועברו לשר צחי הנגבי לפי החלטת ממשלה מס` 1661 מיום 14.7.2016, אשר אושרה על ידי הכנסת ביום 18.7.2016 ",910,הודעת הממשלה,29/05/2017,17:36,1,0
בחירת סגן ליושב-ראש הכנסת,900,הצעת ועדת הכנסת,29/05/2017,17:42,1,0
השלמת הרכב ועדות הכנסת,900,הצעת ועדת הכנסת,29/05/2017,17:44,1,0
הצעת חוק-יסוד: ישראל – מדינת הלאום של העם היהודי,100,להעביר את הצעת החוק לוועדה,10/05/2017,14:07,1,0
"הצעת אי אמון מטעם סיעת המחנה הציוני בנושא: ""מחדלי הממשלה בתחום המדיני הכלכלי, החברתי, האזרחי ונסיונותיה להשתלט על התקשורת בישראל""",300,הצעת אי-אמון בממשלה,08/05/2017,18:16,0,1
"הצעת אי אמון מטעם סיעת יש עתיד בנושא: ""אוזלת ידה של הממשלה בתחום הכלכלי הביטחוני, המדיני והחברתי""",300,הצעת אי-אמון בממשלה,08/05/2017,18:17,0,1
"הצעת אי אמון מטעם סיעת מרצ בנושא: ""מחדלי הממשלה בתחום המדיני, הכלכלי, החברתי, האזרחי וניסיונותיה להשתלט על התקשורת בישראל"" ",300,הצעת אי-אמון בממשלה,08/05/2017,18:18,0,1
"הצעת חוק השידור הציבורי הישראלי (תיקון מס` 8), התשע""ז-2017",101,להעביר את הצעת החוק לוועדה שתקבע ועדת הכנסת,04/05/2017,18:22,1,0
"חוק השידור הציבורי הישראלי (תיקון מס` 7), התשע""ז-2017",101,להעביר את הצעת החוק לוועדה שתקבע ועדת הכנסת,25/04/2017,13:57,1,0
"הצעת חוק התכנון והבנייה (תיקון מס` 116), התשע""ז-2017",104,קריאה שנייה,05/04/2017,15:55,1,0
"הצעת חוק קיצור תקופת הצינון לבכירי מערכת הביטחון (תיקוני חקיקה), התשע""ז-2016",100,להעביר את הצעת החוק לוועדה,08/02/2017,14:25,0,1
"הצעת חוק לוויה ממלכתית, התשע""ז-2016",100,להעביר את הצעת החוק לוועדה,01/02/2017,13:05,0,1
