"﻿MkID","LastName","FirstName","FullName","BirthDate","YearDate","BirthDateHeb","DeathDate","DeathDateHeb","YearDeathDate","ImmigrationDate","BirthCountry","CityName","FamilyStatus","ChildrenNumber","imgPath","FK_MKStatus","FirstLetter","LU_Gender"
23,בן-עמי,שלמה,בן-עמי שלמה,1943-07-17,1943.0,"",,"",,"1955-01-01T00:00:00",מרוקו,כפר סבא,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/23/1_23_3_66.jpeg?v=20201010,0,ב,1
24,בן-צור,שמריהו,בן-צור שמריהו,1944-03-25,1944.0,"",,"",,"1950-01-01T00:00:00",תימן,רעננה,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/24/1_24_3_68.jpeg?v=20201010,0,ב,1
25,בניזרי,שלמה,בניזרי שלמה,1961-02-07,1961.0,"1961-02-07T00:00:00",,"",,"",ישראל,ירושלים,נשוי,8.0,https://fs.knesset.gov.il/globaldocs/MK/25/1_25_3_70.jpeg?v=20201010,0,ב,1
26,ברונפמן,רומן,ברונפמן רומן,1954-04-22,1954.0,"",,"",,"1980-01-01T00:00:00",אוקראינה,חיפה,נשוי,2.0,https://fs.knesset.gov.il/globaldocs/MK/26/1_26_3_72.jpeg?v=20201010,0,ב,1
27,ברעם,עוזי,ברעם עוזי,1937-04-06,1937.0,"",,"",,"",ישראל,תל אביב,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/27/1_27_3_74.jpeg?v=20201010,0,ב,1
28,ברק,אהוד,ברק אהוד,1942-02-12,1942.0,"",,"",,"",ישראל,תל אביב,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/28/1_28_2_76.png?v=20201010,0,ב,1
29,בשארה,עזמי,בשארה עזמי,1956-07-22,1956.0,"",,"",,"",ישראל,נצרת,נשוי,2.0,https://fs.knesset.gov.il/globaldocs/MK/29/1_29_3_79.jpeg?v=20201010,0,ב,1
30,גבאי,אליהו,גבאי אליהו,1943-01-05,1943.0,"",,"",,"1951-01-01T00:00:00",עיראק,ירושלים,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/30/1_30_3_81.jpeg?v=20201010,0,ג,1
31,גוז`נסקי,תמר,גוז`נסקי תמר,1940-10-03,1940.0,"",,"",,"",ישראל,בת ים,נשואה,2.0,https://fs.knesset.gov.il/globaldocs/MK/31/1_31_3_83.jpeg?v=20201010,0,ג,2
32,גולדמן,מיכה,גולדמן מיכה,1948-10-10,1948.0,"",,"",,"",ישראל,כפר תבור,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/32/1_32_3_85.jpeg?v=20201010,0,ג,1
33,גולדשמידט,אלי,גולדשמידט אלי,1953-10-17,1953.0,"",,"",,"",ישראל,זיקים ,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/33/1_33_3_87.jpeg?v=20201010,0,ג,1
34,גמליאל,אריה,גמליאל אריה,1951-03-11,1951.0,"",,"",,"",ישראל,שדרות,נשוי,8.0,https://fs.knesset.gov.il/globaldocs/MK/34/1_34_3_89.jpeg?v=20201010,0,ג,1
35,גפני,משה,גפני משה,1952-05-05,1952.0,"1952-05-04T00:00:00",,"",,"",ישראל,בני ברק,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/35/1_35_2_92.png?v=20201010,1,ג,1
36,דהאמשה,עבד-אלמאלכ,דהאמשה עבד-אלמאלכ,1945-03-04,1945.0,"",,"",,"",ישראל,כפר כנא,נשוי,5.0,https://fs.knesset.gov.il/globaldocs/MK/36/1_36_3_98.jpeg?v=20201010,0,ד,1
37,דהן,נסים,דהן נסים,1954-05-07,1954.0,"",,"",,"1955-01-01T00:00:00",מרוקו,ירושלים,נשוי,9.0,https://fs.knesset.gov.il/globaldocs/MK/37/1_37_3_100.jpeg?v=20201010,0,ד,1
38,דיין,חיים,דיין חיים,1960-03-24,1960.0,"",,"",,"",ישראל,מיטב ,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/38/1_38_3_102.jpeg?v=20201010,0,ד,1
39,דיין,יעל,דיין יעל,1939-02-12,1939.0,"",,"",,"",ישראל,תל אביב,נשואה,2.0,https://fs.knesset.gov.il/globaldocs/MK/39/1_39_3_104.jpeg?v=20201010,0,ד,2
40,דראושה,עבד-אלוהאב,דראושה עבד-אלוהאב,1943-10-12,1943.0,"",,"",,"",ישראל,"כפר איכסאל, אזור נצרת",נשוי,7.0,https://fs.knesset.gov.il/globaldocs/MK/40/1_40_3_106.jpeg?v=20201010,0,ד,1
41,דרעי,אריה מכלוף,דרעי אריה מכלוף,1959-02-17,1959.0,"1959-02-17T00:00:00",,"",,"1968-01-01T00:00:00",מרוקו,ירושלים,נשוי,9.0,https://fs.knesset.gov.il/globaldocs/MK/41/1_41_2_109.png?v=20201010,2,ד,1
42,הירשזון,אברהם,הירשזון אברהם,1941-02-11,1941.0,"",,"",,"",ישראל,תל אביב,אלמן,3.0,https://fs.knesset.gov.il/globaldocs/MK/42/1_42_3_113.jpeg?v=20201010,0,ה,1
43,הלפרט,שמואל,הלפרט שמואל,1939-02-05,1939.0,"1939-02-05T00:00:00",,"",,"1960-01-01T00:00:00",רומניה,בני ברק,נשוי,6.0,https://fs.knesset.gov.il/globaldocs/MK/43/1_43_3_115.jpeg?v=20201010,0,ה,1
44,המר,זבולון,המר זבולון,1936-05-31,1936.0,"",1998-01-20,"",1998.0,"",ישראל,בני ברק,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/44/1_44_3_117.jpeg?v=20201010,0,ה,1
45,הנגבי,צחי,הנגבי צחי,1957-02-26,1957.0,"1957-02-26T00:00:00",,"",,"",ישראל,מבשרת ציון,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/45/1_45_2_120.png?v=20201010,1,ה,1
46,הנדל,צבי,הנדל צבי,1949-10-16,1949.0,"1949-10-15T00:00:00",,"",,"1959-01-01T00:00:00",רומניה,גני טל,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/46/1_46_3_126.jpeg?v=20201010,0,ה,1
47,הראל,יהודה,הראל יהודה,1934-11-11,1934.0,"",,"",,"1935-01-01T00:00:00",גרמניה,מרום גולן,נשוי,5.0,https://fs.knesset.gov.il/globaldocs/MK/47/1_47_3_128.jpeg?v=20201010,0,ה,1
48,ויינברג,צבי,ויינברג צבי,1935-08-12,1935.0,"",2006-12-21,"",2006.0,"1992-01-01T00:00:00",פולין,ירושלים,גרוש,4.0,https://fs.knesset.gov.il/globaldocs/MK/48/1_48_3_130.jpeg?v=20201010,0,ו,1
49,וייס,שבח,וייס שבח,1935-07-05,1935.0,"",,"",,"1947-01-01T00:00:00",פולין,חיפה,נשוי,2.0,https://fs.knesset.gov.il/globaldocs/MK/49/1_49_3_132.jpeg?v=20201010,0,ו,1
50,וקנין,יצחק,וקנין יצחק,1958-05-12,1958.0,"",,"",,"",ישראל,יערה,נשוי,5.0,https://fs.knesset.gov.il/globaldocs/MK/50/1_50_2_135.png?v=20201010,0,ו,1
51,זאבי,רחבעם,זאבי רחבעם,1926-06-20,1926.0,"1926-06-20T00:00:00",2001-10-17,"2001-10-17T00:00:00",2001.0,"",ישראל,רמת השרון,נשוי,5.0,https://fs.knesset.gov.il/globaldocs/MK/51/1_51_3_141.jpeg?v=20201010,0,ז,1
52,זוילי,נסים,זוילי נסים,1942-01-31,1942.0,"",,"",,"1954-01-01T00:00:00",תוניסיה,עולש ,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/52/1_52_3_143.jpeg?v=20201010,0,ז,1
53,זיסמן,עמנואל,זיסמן עמנואל,1935-02-11,1935.0,"",2009-11-11,"",2009.0,"1949-01-01T00:00:00",בולגריה,ירושלים,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/53/1_53_3_145.jpeg?v=20201010,0,ז,1
54,זנדברג,אליעזר,זנדברג אליעזר,1962-02-21,1962.0,"",,"",,"",ישראל,חיפה,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/54/1_54_3_147.jpeg?v=20201010,0,ז,1
55,חאג` יחיא,רפיק,חאג` יחיא רפיק,1949-09-03,1949.0,"",2000-04-16,"",2000.0,"",ישראל,טייבה,נשוי,5.0,https://fs.knesset.gov.il/globaldocs/MK/55/1_55_3_149.jpeg?v=20201010,0,ח,1
56,חזן,נעמי,חזן נעמי,1946-11-18,1946.0,"",,"",,"",ישראל,ירושלים,"",2.0,https://fs.knesset.gov.il/globaldocs/MK/56/1_56_3_151.jpeg?v=20201010,0,ח,2
57,ח'טיב,תאופיק,ח'טיב תאופיק,1954-04-21,1954.0,"",,"",,"",ישראל,ג`לג`וליה,נשוי,5.0,https://fs.knesset.gov.il/globaldocs/MK/57/1_57_3_153.jpeg?v=20201010,0,ח,1
58,טל,דוד,טל דוד,1950-01-26,1950.0,"1950-01-26T00:00:00",2016-07-02,"2016-07-02T00:00:00",2016.0,"",ישראל,ראשון לציון,נשוי,6.0,https://fs.knesset.gov.il/globaldocs/MK/58/1_58_3_155.jpeg?v=20201010,0,ט,1
59,טריף,סאלח,טריף סאלח,1954-02-09,1954.0,"",,"",,"",ישראל,ג'וליס,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/59/1_59_3_157.jpeg?v=20201010,0,ט,1
60,יהב,יונה,יהב יונה,1944-06-19,1944.0,"",,"",,"",ישראל,חיפה,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/60/1_60_3_159.jpeg?v=20201010,0,י,1
61,יהלום,שאול,יהלום שאול,1947-09-27,1947.0,"",,"",,"",ישראל,אלקנה,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/61/1_61_3_161.jpeg?v=20201010,0,י,1
62,יחזקאל,אברהם,יחזקאל אברהם,1958-06-10,1958.0,"",,"",,"",ישראל,ראשון לציון,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/62/1_62_3_163.jpeg?v=20201010,0,י,1
63,ישי,אליהו,ישי אליהו,1962-12-26,1962.0,"",,"",,"",ישראל,ירושלים,נשוי,5.0,https://fs.knesset.gov.il/globaldocs/MK/63/1_63_2_165.png?v=20201010,0,י,1
64,כבל,איתן,כבל איתן,1959-08-23,1959.0,"1959-08-23T00:00:00",,"",,"",ישראל,ראש העין,נשוי,2.0,https://fs.knesset.gov.il/globaldocs/MK/64/1_64_2_170.png?v=20201010,0,כ,1
65,כהן,יצחק,כהן יצחק,1951-10-02,1951.0,"1951-10-02T00:00:00",,"",,"",ישראל,אשקלון,נשוי,10.0,https://fs.knesset.gov.il/globaldocs/MK/65/1_65_2_177.png?v=20201010,1,כ,1
66,כהן,רן,כהן רן,1937-06-20,1937.0,"",,"",,"1950-01-01T00:00:00",עיראק,מבשרת ציון,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/66/1_66_3_183.jpeg?v=20201010,0,כ,1
67,כהן,רענן,כהן רענן,1941-02-28,1941.0,"",,"",,"1951-01-01T00:00:00",עיראק,רמת גן,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/67/1_67_3_185.jpeg?v=20201010,0,כ,1
68,כץ,יוסי,כץ יוסי,1949-08-19,1949.0,"",,"",,"",ישראל,קריית טבעון,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/68/1_68_3_187.jpeg?v=20201010,0,כ,1
69,כץ,ישראל,כץ ישראל,1955-09-21,1955.0,"1955-09-21T00:00:00",,"",,"",ישראל,כפר אחים,נשוי,2.0,https://fs.knesset.gov.il/globaldocs/MK/69/1_69_2_190.png?v=20201010,1,כ,1
70,לבנת,לימור,לבנת לימור,1950-09-22,1950.0,"1950-09-22T00:00:00",,"",,"",ישראל,תל אביב,בזוגיות,2.0,https://fs.knesset.gov.il/globaldocs/MK/70/1_70_2_196.png?v=20201010,0,ל,2
71,לובוצקי,אלכסנדר,לובוצקי אלכסנדר,1956-06-28,1956.0,"",,"",,"",ישראל,אפרת,נשוי,6.0,https://fs.knesset.gov.il/globaldocs/MK/71/1_71_3_200.jpeg?v=20201010,0,ל,1
72,לוי,דוד,לוי דוד,1937-12-21,1937.0,"",,"",,"1957-01-01T00:00:00",מרוקו,בית שאן,נשוי,12.0,https://fs.knesset.gov.il/globaldocs/MK/72/1_72_3_202.jpeg?v=20201010,0,ל,1
73,לוי,יצחק,לוי יצחק,1947-06-06,1947.0,"",,"",,"1957-01-01T00:00:00",מרוקו,כפר מימון ,נשוי,5.0,https://fs.knesset.gov.il/globaldocs/MK/73/1_73_3_204.jpeg?v=20201010,0,ל,1
74,לוי,מקסים,לוי מקסים,1950-02-11,1950.0,"",2002-10-11,"",2002.0,"1957-01-01T00:00:00",מרוקו,לוד,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/74/1_74_3_206.jpeg?v=20201010,0,ל,1
75,ליבאי,דוד,ליבאי דוד,1934-10-22,1934.0,"",,"",,"",ישראל,תל אביב,נשוי,2.0,https://fs.knesset.gov.il/globaldocs/MK/75/1_75_3_208.jpeg?v=20201010,0,ל,1
76,לייזרזון,אברהם,לייזרזון אברהם,1943-01-01,1943.0,"",2020-01-11,"",2020.0,"",ישראל,ירושלים,נשוי,2.0,https://fs.knesset.gov.il/globaldocs/MK/76/1_76_3_210.jpeg?v=20201010,0,ל,1
77,לנדאו,עוזי,לנדאו עוזי,1943-08-02,1943.0,"",,"",,"",ישראל,רעננה,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/77/1_77_2_212.png?v=20201010,0,ל,1
78,לנדבר,סופה,לנדבר סופה,1949-10-28,1949.0,"",,"",,"1979-01-01T00:00:00",רוסיה,אשדוד,אלמנה,1.0,https://fs.knesset.gov.il/globaldocs/MK/78/1_78_2_217.png?v=20201010,0,ל,2
79,לנקרי,יהודה,לנקרי יהודה,1947-09-25,1947.0,"",,"",,"1965-01-01T00:00:00",מרוקו,כפר סבא,נשוי,2.0,https://fs.knesset.gov.il/globaldocs/MK/79/1_79_3_223.jpeg?v=20201010,0,ל,1
80,מאור,ענת,מאור ענת,1945-05-28,1945.0,"",,"",,"",ישראל,נגבה,נשואה,2.0,https://fs.knesset.gov.il/globaldocs/MK/80/1_80_3_225.jpeg?v=20201010,0,מ,2
81,מאסלה,אדיסו,מאסלה אדיסו,1961-06-16,1961.0,"",,"",,"1980-01-01T00:00:00",אתיופיה,בת ים,נשוי,2.0,https://fs.knesset.gov.il/globaldocs/MK/81/1_81_3_227.jpeg?v=20201010,0,מ,1
82,מגן (מונסוניגו),דוד,מגן (מונסוניגו) דוד,1945-09-04,1945.0,"",,"",,"1949-01-01T00:00:00",מרוקו,קריית גת,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/82/1_82_3_229.jpeg?v=20201010,0,מ,1
83,מחאמיד,האשם,מחאמיד האשם,1945-02-18,1945.0,"",2018-04-03,"",2018.0,"",ישראל,אום אל-פחם,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/83/1_83_3_231.jpeg?v=20201010,0,מ,1
84,מירום,חגי,מירום חגי,1946-09-23,1946.0,"",,"",,"",ישראל,זכרון יעקב,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/84/1_84_3_233.jpeg?v=20201010,0,מ,1
85,מסאלחה,נואף,מסאלחה נואף,1943-11-26,1943.0,"",,"",,"",ישראל,כפר קרע,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/85/1_85_3_235.jpeg?v=20201010,0,מ,1
86,מצא,יהושע,מצא יהושע,1931-08-08,1931.0,"",,"",,"",ישראל,ירושלים,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/86/1_86_3_237.jpeg?v=20201010,0,מ,1
87,מרדכי,יצחק,מרדכי יצחק,1944-11-22,1944.0,"",,"",,"1950-01-01T00:00:00",עיראק,תל אביב,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/87/1_87_3_239.jpeg?v=20201010,0,מ,1
88,מרידור,דן,מרידור דן,1947-04-23,1947.0,"",,"",,"",ישראל,ירושלים,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/88/1_88_2_241.png?v=20201010,0,מ,1
89,נודלמן,מיכאל,נודלמן מיכאל,1938-06-30,1938.0,"",2018-12-25,"",2018.0,"1991-01-01T00:00:00",אוקראינה,מודיעין,נשוי,2.0,https://fs.knesset.gov.il/globaldocs/MK/89/1_89_3_244.jpeg?v=20201010,0,נ,1
90,נתניהו,בנימין,נתניהו בנימין,1949-10-21,1949.0,"1949-10-21T00:00:00",,"",,"",ישראל,ירושלים,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/90/1_90_2_247.png?v=20201010,1,נ,1
91,סולודקין,מרינה,סולודקין מרינה,1952-05-31,1952.0,"1952-05-31T00:00:00",2013-03-16,"2013-03-16T00:00:00",2013.0,"",ברית המועצות,אשקלון,נשואה,2.0,https://fs.knesset.gov.il/globaldocs/MK/91/1_91_2_253.png?v=20201010,0,ס,2
92,סלומינסקי,ניסן,סלומינסקי ניסן,1946-01-10,1946.0,"1946-01-01T00:00:00",,"",,"",ישראל,אלקנה,נשוי,5.0,https://fs.knesset.gov.il/globaldocs/MK/92/1_92_2_257.png?v=20201010,0,ס,1
93,סלים,סאלח,סלים סאלח,1953-11-02,1953.0,"",,"",,"",ישראל,כפר אעבלין,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/93/1_93_3_263.jpeg?v=20201010,0,ס,1
94,סנה,אפרים,סנה אפרים,1944-09-19,1944.0,"",,"",,"",ישראל,הרצלייה,נשוי,2.0,https://fs.knesset.gov.il/globaldocs/MK/94/1_94_3_265.jpeg?v=20201010,0,ס,1
95,סעד,אחמד,סעד אחמד,1945-11-25,1945.0,"",2010-04-20,"",2010.0,"",ישראל,כפר אבו סנאן,נשוי,6.0,https://fs.knesset.gov.il/globaldocs/MK/95/1_95_3_267.jpeg?v=20201010,0,ס,1
96,עזרא,גדעון,עזרא גדעון,1937-06-30,1937.0,"",2012-05-17,"",2012.0,"",ישראל,הוד השרון,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/96/1_96_2_269.png?v=20201010,0,ע,1
97,עמור,שאול,עמור שאול,1940-12-21,1940.0,"",2004-10-02,"",2004.0,"1956-01-01T00:00:00",מרוקו,מגדל העמק,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/97/1_97_3_272.jpeg?v=20201010,0,ע,1
98,פורז,אברהם,פורז אברהם,1945-08-09,1945.0,"",,"",,"1950-01-01T00:00:00",רומניה,תל אביב,נשוי,2.0,https://fs.knesset.gov.il/globaldocs/MK/98/1_98_3_274.jpeg?v=20201010,0,פ,1
99,פורת,חנן,פורת חנן,1943-12-12,1943.0,"",2011-10-04,"",2011.0,"",ישראל,כפר עציון,נשוי,10.0,https://fs.knesset.gov.il/globaldocs/MK/99/1_99_3_276.jpeg?v=20201010,0,פ,1
100,פינס-פז,אופיר,פינס-פז אופיר,1961-07-11,1961.0,"",,"",,"",ישראל,תל אביב,נשוי,2.0,https://fs.knesset.gov.il/globaldocs/MK/100/1_100_3_278.jpeg?v=20201010,0,פ,1
101,פלד,משה,פלד משה,1945-04-02,1945.0,"",,"",,"",ישראל,בית השיטה,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/101/1_101_3_280.jpeg?v=20201010,0,פ,1
102,פנחסי,רפאל,פנחסי רפאל,1940-01-01,1940.0,"",,"",,"1950-01-01T00:00:00",אפגניסטן,בני ברק,נשוי,7.0,https://fs.knesset.gov.il/globaldocs/MK/102/1_102_3_282.jpeg?v=20201010,0,פ,1
103,פרוש,מאיר,פרוש מאיר,1955-06-11,1955.0,"1955-06-11T00:00:00",,"",,"",ישראל,ירושלים,נשוי,12.0,https://fs.knesset.gov.il/globaldocs/MK/103/1_103_2_284.png?v=20201010,2,פ,1
104,פרס,שמעון,פרס שמעון,1923-08-01,1923.0,"1923-08-02T00:00:00",2016-09-28,"2016-09-28T00:00:00",2016.0,"1934-01-01T00:00:00",פולין,תל אביב,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/104/1_104_3_288.jpeg?v=20201010,0,פ,1
105,פרץ,עמיר,פרץ עמיר,1952-03-09,1952.0,"1952-03-09T00:00:00",,"",,"1952-01-01T00:00:00",מרוקו,שדרות,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/105/1_105_2_291.png?v=20201010,1,פ,1
106,חאג` יחיא (צאדק),ווליד,חאג` יחיא (צאדק) ווליד,1936-01-01,1936.0,"",2015-03-21,"",2015.0,"",ישראל,טייבה,נשוי,6.0,https://fs.knesset.gov.il/globaldocs/MK/106/1_106_3_297.jpeg?v=20201010,0,ח,1
107,צוקר,דוד,צוקר דוד,1948-09-11,1948.0,"",,"",,"",ישראל,תל אביב,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/107/1_107_3_299.jpeg?v=20201010,0,צ,1
108,קהלני,אביגדור,קהלני אביגדור,1944-06-16,1944.0,"",,"",,"",ישראל,תל אביב,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/108/1_108_3_301.jpeg?v=20201010,0,ק,1
109,קליינר,מיכאל,קליינר מיכאל,1948-04-04,1948.0,"",,"",,"1951-01-01T00:00:00",גרמניה,בני ברק,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/109/1_109_3_303.jpeg?v=20201010,0,ק,1
110,קצב,משה,קצב משה,1945-12-05,1945.0,"",,"",,"1951-01-01T00:00:00",איראן,קריית מלאכי,נשוי,5.0,https://fs.knesset.gov.il/globaldocs/MK/110/1_110_3_305.jpeg?v=20201010,0,ק,1
111,ראם,דוד,ראם דוד,1953-03-28,1953.0,"",,"",,"",ישראל,קריית אתא,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/111/1_111_3_307.jpeg?v=20201010,0,ר,1
112,רביץ,אברהם,רביץ אברהם,1934-01-13,1934.0,"1934-01-13T00:00:00",2009-01-26,"2009-01-26T00:00:00",2009.0,"",ישראל,ירושלים,נשוי,12.0,https://fs.knesset.gov.il/globaldocs/MK/112/1_112_3_309.jpeg?v=20201010,0,ר,1
