LawID,TypeID,TypeDesc,SubTypeID,SubTypeDesc,KnessetNum,Name,PublicationDate,PublicationSeriesID,PublicationSeriesDesc,MagazineNumber,PageNumber,LastUpdatedDate
2001433,6002,חוק בן חיצוני,6043,מנדטורי,,פקודת הפרוצדורה הפלילית (עדות),12/31/1933 0:00,6074,חוקי ארץ ישראל,א' - לד,א' - לד,11/18/2019 14:05
2001434,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",13,"תיקון טעות בחוק שכר שווה לעובדת ולעובד, התשנ""ו-1996",5/28/1996 0:00,6071,ספר החוקים,1595,1595,9/10/2014 14:27
2001435,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",14,"תיקון טעות דפוס בחוק שכר שווה לעובדת ולעבוד, התשנ""ו-1996",9/10/1996 0:00,6071,ספר החוקים,1600,1600,1/27/2021 22:39
2001436,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",11,"תיקון טעות בחוק שמירת הניקיון, התשמ""ד-1984",3/19/1985 0:00,6071,ספר החוקים,1138,1138,9/10/2014 14:27
2001437,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",1,"תיקון טעות בחוק שעות עבודה ומנוחה, התשי""א-1951",7/26/1951 0:00,6071,ספר החוקים,82,82,9/10/2014 14:27
2001438,6002,חוק בן חיצוני,6043,מנדטורי,,"דבר המלך במועצה על פלשתינה (א""י), 1922",8/10/1922 0:00,6074,חוקי ארץ ישראל,ג',ג',7/3/2019 13:57
2001439,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",6,תיקון טעות בחוק-יסוד: הממשלה,8/23/1968 0:00,6071,ספר החוקים,תוכן עניינים,תוכן עניינים,9/10/2014 14:27
2001440,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",14,תיקון טעות דפוס בחוק-יסוד: הממשלה,9/10/1996 0:00,6071,ספר החוקים,1600,1600,1/27/2021 22:40
2001441,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",8,תיקון טעות דפוס בחוק-יסוד: הצבא,7/15/1976 0:00,6071,ספר החוקים,820,820,1/27/2021 22:40
2001442,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",5,תיקון טעות בחוק-יסוד: נשיא המדינה,8/7/1964 0:00,6071,ספר החוקים,תוכן עניינים,תוכן עניינים,9/10/2014 14:27
2001443,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",14,"תיקון טעות דפוס בחוק-יסוד: נשיא המדינה (תיקון מס' 3), התשנ""ו-1996",9/10/1996 0:00,6071,ספר החוקים,1600,1600,1/27/2021 22:41
2001444,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",11,"תיקון טעות דפוס בחוק אגרת לימוד במוסדות להשכלה גבוהה (הוראת שעה), התשמ""ה-1985",7/16/1985 0:00,6071,ספר החוקים,1151,1151,1/27/2021 22:41
2001445,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",17,"תיקון טעות בחוק אוויר נקי, התשס""ח-2008",11/16/2008 0:00,6071,ספר החוקים,2192,2192,9/10/2014 14:27
2001446,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",18,"תיקון טעות דפוס בחוק אוויר נקי, התשס""ח-2008",8/5/2009 0:00,6071,ספר החוקים,2207,2207,1/27/2021 22:41
2001447,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",18,"תיקון טעות בחוק אוויר נקי, התשס""ח-2008",1/12/2011 0:00,6071,ספר החוקים,2272,2272,9/10/2014 14:27
2001448,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",5,"תיקון טעות בחוק איגרות מדינת ישראל (מילווה הפיתוח - הוצאה שלישית), התשכ""ד-1963",11/28/1963 0:00,6071,ספר החוקים,408,408,9/10/2014 14:27
2001449,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",6,"תיקון טעות בחוק איגרות מדינת ישראל (מילווה הפיתוח - הוצאה שניה), התשכ""ז-1967",7/10/1967 0:00,6071,ספר החוקים,501,501,9/10/2014 14:27
2001450,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",4,"תיקון טעות בחוק אימוץ ילדים, התש""ך-1960",8/19/1960 0:00,6071,ספר החוקים,תוכן עניינים,תוכן עניינים,9/10/2014 14:27
2001451,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",18,"תיקון טעות דפוס בחוק אימוץ ילדים (תיקון מס' 8), התשע""א-2010",3/22/2012 0:00,6071,ספר החוקים,2346,2346,1/27/2021 22:45
2001452,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",14,"תיקון טעות בחוק איסור הקמת מצבות זכרון לזכר מבצעי מעשי טרור, התשנ""ח-1998",11/22/1998 0:00,6071,ספר החוקים,1693,1693,9/10/2014 14:27
2001453,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",3,"תיקון טעות בחוק אמנת החברה הבינלאומית למימון, התשט""ז-1956",8/3/1959 0:00,6071,ספר החוקים,תוכן עניינים,תוכן עניינים,9/10/2014 14:27
2001454,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",10,"תיקון טעות בחוק ארגון הפיקוח על עבודה (תיקון מס' 2), התשמ""ב-1982",8/4/1982 0:00,6071,ספר החוקים,1057,1057,9/10/2014 14:27
2001455,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",3,"תיקון טעות בחוק בול ביטחון (תיקון והארכת תקופת ההיטל), התשי""ח-1958",6/17/1958 0:00,6071,ספר החוקים,253,253,9/10/2014 14:27
2001456,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",8,"תיקון טעות דפוס בחוק לתיקון חוק בול ביטחון (תיקון והארכת תקופת ההיטל) (תיקון מס' 11), התשל""ה-1975",11/6/1975 0:00,6071,ספר החוקים,783,783,1/27/2021 22:45
2001457,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",18,"תיקון טעות בחוק ביטוח בריאות ממלכתי (תיקון מס' 50), התש""ע-2010",12/26/2010 0:00,6071,ספר החוקים,2269,2269,9/10/2014 14:27
2001458,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",15,"תיקון טעות דפוס בחוק ביטוח רכב מנועי (ביטוח בתנאי תחרות מבוקרת והסדרים לתקופת מעבר) (תיקון מס' 2), התשס""א-2000",9/6/2001 0:00,6071,ספר החוקים,1808,1808,1/27/2021 22:46
2001459,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",10,"תיקון טעות בחוק בתי המשפט (תיקון מס' 15), התשמ""ב-1982",12/21/1982 0:00,6071,ספר החוקים,1069,1069,9/10/2014 14:27
2001460,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",11,"תיקון טעות דפוס בחוק בתי המשפט [נוסח משולב], התשמ""ד-1984",12/5/1984 0:00,6071,ספר החוקים,1127,1127,2/10/2021 9:59
2001461,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",11,"תיקון טעות בחוק בתי המשפט (תיקון), התשמ""ה-1985",10/24/1985 0:00,6071,ספר החוקים,1160,1160,9/10/2014 14:27
2001462,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",12,"תיקון טעות דפוס בחוק בתי המשפט (תיקון מס' 7), התשמ""ט-1989",5/30/1989 0:00,6071,ספר החוקים,1275,1275,1/27/2021 22:45
2001463,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",15,"תיקון טעות בחוק בתי המשפט (תיקון מס' 32), התשס""ב-2002",6/6/2002 0:00,6071,ספר החוקים,1847,1847,9/10/2014 14:27
2001464,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",17,"תיקון טעות בחוק בתי המשפט (תיקון מס' 42 והוראת שעה), התשס""ו-2006",7/27/2006 0:00,6071,ספר החוקים,2063,2063,9/10/2014 14:27
2001465,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",17,"תיקון טעות דפוס בחוק בתי המשפט (תיקון מס' 43), התשס""ו-2006",12/21/2006 0:00,6071,ספר החוקים,2073,2073,1/27/2021 22:46
2001466,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",18,"תיקון טעות בחוק בתי המשפט (תיקון מס' 59), התש""ע-2010",11/9/2010 0:00,6071,ספר החוקים,2258,2258,9/10/2014 14:27
2001467,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",18,"תיקון טעות בחוק בתי המשפט (תיקון מס' 69), התשע""ב-2012",3/5/2012 0:00,6071,ספר החוקים,2342,2342,9/10/2014 14:27
2001468,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",18,"תיקון טעות בחוק לתיקון פקודת היערות (מס' 5), התשע""ב-2012",4/1/2012 0:00,6071,ספר החוקים,2348,2348,9/10/2014 14:27
2001469,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",1,"תיקון טעות בחוק בתי קברות צבאיים, התש""י-1950",9/5/1950 0:00,6071,ספר החוקים,59,59,9/10/2014 14:27
2001470,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",6,"תיקון טעות בחוק בתי קברות צבאיים (תיקון), התשכ""ט-1969",10/5/1969 0:00,6071,ספר החוקים,576,576,9/10/2014 14:27
2001471,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",2,"תיקון טעות בחוק בתים משותפים, התשי""ג-1952",2/20/1953 0:00,6071,ספר החוקים,120,120,9/10/2014 14:27
2001472,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",2,"תיקון טעות בחוק בתים משותפים, התשי""ג-1952",9/6/1953 0:00,6071,ספר החוקים,תוכן עניינים,תוכן עניינים,9/10/2014 14:27
2001473,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",5,"תיקון טעות בחוק גנים לאומיים ושמורות טבע, התשכ""ג-1963",9/1/1963 0:00,6071,ספר החוקים,תוכן עניינים,תוכן עניינים,9/10/2014 14:27
2001474,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",13,"תיקון טעות בחוק גנים לאומיים, שמורות טבע, אתרים לאומיים ואתרי הנצחה, התשנ""ב-1992",1/7/1993 0:00,6071,ספר החוקים,1406,1406,9/10/2014 14:27
2001475,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",14,"תיקון טעות דפוס בחוק גנים לאומיים, שמורות טבע, אתרים לאומיים ואתרי הנצחה, התשנ""ח-1998",5/29/1998 0:00,6071,ספר החוקים,1668,1668,1/27/2021 22:47
2001476,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",9,"תיקון טעות דפוס בחוק דוד בן-גוריון, התשל""ז-1976",4/7/1978 0:00,6071,ספר החוקים,892,892,1/27/2021 22:47
2001477,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",9,"תיקון טעות בחוק האזנת סתר, התשל""ט-1979",12/6/1979 0:00,6071,ספר החוקים,950,950,9/10/2014 14:27
2001478,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",13,"תיקון טעות בחוק האזנת סתר (תיקון), התשנ""ה-1995",6/18/1995 0:00,6071,ספר החוקים,1527,1527,9/10/2014 14:27
2001479,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",9,"תיקון טעות בחוק האפוטרופוס הכללי, התשל""ח-1978",6/21/1979 0:00,6071,ספר החוקים,935,935,9/10/2014 14:27
2001480,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",3,"תיקון טעות בחוק הארנונה לפיצוי נזקי מלחמה (תיקון), התשט""ז-1956",3/29/1956 0:00,6071,ספר החוקים,201,201,9/10/2014 14:27
2001481,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",3,"תיקון טעות בחוק הבחירות לכנסת, התשט""ו-1955",9/4/1955 0:00,6071,ספר החוקים,תוכן עניינים,תוכן עניינים,9/10/2014 14:27
2001482,6002,חוק בן חיצוני,6041,נוסח משולב,2,"חוק הבחירות לכנסת, התשט""ו-1955 [נוסח משולב]",2/17/1955 0:00,6071,ספר החוקים,174,174,9/10/2014 14:27
2001483,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",2,"תיקון טעות בחוק הבחירות לכנסת [נוסח משולב], התשט""ו-1955",4/10/1955 0:00,6071,ספר החוקים,177,177,2/10/2021 10:00
2001484,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",12,"תיקון טעות דפוס בחוק הבחירות לכנסת (תיקון מס' 19), התשמ""ט-1989",8/9/1989 0:00,6071,ספר החוקים,1284,1284,1/27/2021 22:47
2001485,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",9,"תיקון טעות דפוס בחוק הבחירות למועצת הרבנות הראשית (הוראת שעה), התשל""ח-1977",3/23/1978 0:00,6071,ספר החוקים,888,888,1/27/2021 22:48
2001486,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",11,"תיקון טעות בחוק הבטחת הכנסה (תיקון מס' 2), התשמ""ז-1987",8/23/1987 0:00,6071,ספר החוקים,1224,1224,9/10/2014 14:27
2001487,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",14,"תיקון טעות דפוס בחוק לצמצום ממדי העוני והפערים בהכנסות (תיקוני חקיקה), התשנ""ד-1994",9/10/1996 0:00,6071,ספר החוקים,1600,1600,1/27/2021 22:48
2001488,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",2,"תיקון טעות בחוק הביטוח הלאומי, התשי""ד-1953",12/3/1953 0:00,6071,ספר החוקים,138,138,9/10/2014 14:27
2001489,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",3,"תיקון טעות דפוס בחוק הביטוח הלאומי, התשי""ד-1953",3/22/1956 0:00,6071,ספר החוקים,200,200,1/27/2021 22:48
2001490,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",3,"תיקון טעות דפוס בחוק הביטוח הלאומי (תיקון), התשט""ו-1955",3/22/1956 0:00,6071,ספר החוקים,200,200,1/27/2021 22:49
2001491,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",5,"תיקון טעות דפוס בחוק הביטוח הלאומי (תיקון מס' 12), התשכ""ה-1965",8/12/1965 0:00,6071,ספר החוקים,467,467,1/27/2021 22:49
2001492,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",6,"תיקון טעות בחוק הביטוח הלאומי [נוסח משולב], התשכ""ח-1968",7/1/1968 0:00,6071,ספר החוקים,530,530,2/10/2021 10:02
2001493,6002,חוק בן חיצוני,6041,נוסח משולב,6,"תיקון לתחילת תוקף של חוק הביטוח הלאומי [נוסח משולב], התשכ""ח-1968",7/31/1968 0:00,6071,ספר החוקים,533,533,9/10/2014 14:27
2001494,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",6,"תיקון טעות בחוק הביטוח הלאומי [נוסח משולב], התשכ""ח-1968",6/12/1969 0:00,6071,ספר החוקים,557,557,2/10/2021 10:03
2001495,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",7,"תיקון טעות בחוק הביטוח הלאומי [נוסח משולב], התשכ""ח-1968",1/27/1970 0:00,6071,ספר החוקים,580,580,2/10/2021 10:06
2001496,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",7,"תיקון טעות בחוק הביטוח הלאומי (תיקון מס' 10), התשל""ג-1973",6/29/1973 0:00,6071,ספר החוקים,700,700,9/10/2014 14:27
2001497,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",8,"תיקון טעות דפוס בחוק הביטוח הלאומי (תיקון מס' 21), התשל""ו-1976",7/15/1976 0:00,6071,ספר החוקים,820,820,1/27/2021 22:49
2001498,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",8,"תיקון טעות בחוק הביטוח הלאומי (תיקון מס' 21), התשל""ו-1976",8/13/1976 0:00,6071,ספר החוקים,826,826,9/10/2014 14:27
2001499,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",11,"תיקון טעות דפוס בחוק הביטוח הלאומי (תיקון מס' 61), התשמ""ו-1986",6/15/1986 0:00,6071,ספר החוקים,1182,1182,1/27/2021 22:50
2001500,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",11,"תיקון טעות בחוק הביטוח הלאומי (תיקון מס' 61), התשמ""ו-1986",7/3/1986 0:00,6071,ספר החוקים,1184,1184,9/10/2014 14:27
2001501,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",11,"תיקון טעות בחוק הביטוח הלאומי (תיקון מס' 61), התשמ""ו-1986",11/18/1986 0:00,6071,ספר החוקים,1199,1199,9/10/2014 14:27
2001502,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",11,"תיקון טעות בחוק הביטוח הלאומי (תיקון מס' 63), התשמ""ו-1986",11/18/1986 0:00,6071,ספר החוקים,1199,1199,9/10/2014 14:27
2001503,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",14,"תיקון טעות דפוס בחוק הביטוח הלאומי (תיקון מס' 7), התשנ""ו-1996",9/10/1996 0:00,6071,ספר החוקים,1600,1600,1/27/2021 22:50
2001504,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",14,"תיקון טעות בחוק הביטוח הלאומי (תיקון 29), התשנ""ח-1998",1/21/1999 0:00,6071,ספר החוקים,1699,1699,9/10/2014 14:27
2001505,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",15,"תיקון טעות דפוס בחוק הביטוח הלאומי (תיקון מס' 40), התש""ס-2000",11/7/2000 0:00,6071,ספר החוקים,1754,1754,1/27/2021 22:51
2001506,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",16,"תיקון טעות בחוק הביטוח הלאומי (תיקון 36), התש""ס-2000",4/3/2003 0:00,6071,ספר החוקים,1889,1889,9/10/2014 14:27
2001507,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",14,"תיקון טעות דפוס בחוק הגבלת פרסומים (גופים ציבוריים), התשנ""ו-1996",12/30/1998 0:00,6071,ספר החוקים,1696,1696,1/27/2021 22:51
2001508,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",11,"תיקון טעות בחוק הגליל, התשמ""ח-1987",7/27/1988 0:00,6071,ספר החוקים,1259,1259,9/10/2014 14:27
2001509,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",18,"תיקון טעות בחוק הגנה על הציבור מפני עברייני מין (תיקון מס' 3), התשע""א-2011",1/3/2013 0:00,6071,ספר החוקים,2390,2390,9/10/2014 14:27
2001510,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",2,"תיקון טעות בחוק הגנת הדייר, התשי""ד-1954",9/17/1954 0:00,6071,ספר החוקים,תוכן עניינים,תוכן עניינים,2/29/2016 12:37
2001511,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",3,"תיקון טעות בחוק הגנת הדייר, התשט""ו-1956",9/4/1955 0:00,6071,ספר החוקים,תוכן עניינים,תוכן עניינים,9/10/2014 14:27
2001512,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",3,"תיקון טעות בחוק השיפוט הצבאי, התשט""ו-1956",9/4/1955 0:00,6071,ספר החוקים,תוכן עניינים,תוכן עניינים,2/10/2021 10:14
2001513,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",7,"תיקון טעות בחוק הגנת הדייר [נוסח משולב], התשל""ב-1972",12/22/1972 0:00,6071,ספר החוקים,673,673,2/10/2021 10:16
2001514,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",18,"תיקון טעות בחוק הגנת הסביבה (סמכויות פיקוח ואכיפה), התשע""א-2011",6/6/2011 0:00,6071,ספר החוקים,2299,2299,9/10/2014 14:27
2001515,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",18,"תיקון טעות בחוק הגנת הסביבה (פליטות והעברות לסביבה - חובות דיווח ומרשם), התשע""ב-2012",6/4/2012 0:00,6071,ספר החוקים,2362,2362,9/10/2014 14:27
2001516,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",9,"תיקון טעות בחוק הגנת הפרטיות, התשמ""א-1981",4/7/1981 0:00,6071,ספר החוקים,1016,1016,9/10/2014 14:27
2001517,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",14,"תיקון טעות בחוק הגנת הפרטיות (תיקון מס' 4) (מאגרי מידע), התשנ""ה-1995",6/10/1997 0:00,6071,ספר החוקים,1625,1625,9/10/2014 14:27
2001518,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",9,"תיקון טעות בחוק הגנת הצרכן, התשמ""א-1981",5/28/1981 0:00,6071,ספר החוקים,1028,1028,9/10/2014 14:27
2001519,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",9,"תיקון טעות דפוס בחוק הגנת הצרכן, התשמ""א-1981",5/28/1981 0:00,6071,ספר החוקים,1028,1028,1/27/2021 22:51
2001520,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",10,"תיקון טעות בחוק הגנת הצרכן, התשמ""א-1981",12/22/1981 0:00,6071,ספר החוקים,1035,1035,9/10/2014 14:27
2001521,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",16,"תיקון טעות דפוס בחוק הגנת הצרכן (תיקון מס' 10), התשס""א-2001",9/11/2003 0:00,6071,ספר החוקים,1904,1904,1/27/2021 22:52
2001522,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",17,"תיקון טעות בחוק הגנת הצרכן (תיקון מס' 15), התשס""ה-2005",12/21/2006 0:00,6071,ספר החוקים,2073,2073,9/10/2014 14:27
2001523,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",6,"תיקון טעות בחוק הגנת השכר (תיקון מס' 6), התשכ""ט-1969",3/30/1969 0:00,6071,ספר החוקים,554,554,9/10/2014 14:27
2001524,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",8,"תיקון טעות בחוק הגנת השכר (תיקון מס' 11), התשל""ו-1976",4/22/1976 0:00,6071,ספר החוקים,807,807,9/10/2014 14:27
2001525,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",11,"תיקון טעות בחוק הגנת השכר (תיקון מס' 16), התשמ""ה-1985",11/3/1985 0:00,6071,ספר החוקים,1161,1161,9/10/2014 14:27
